Reasons for not attending school ,Male,Female,Male,Female
School too far,0.2,2.1,2.7,13.5
Transport not available,0,0.2,0.6,1.2
Further edcation not necessary,8.9,20.7,6.6,16.6
Required for household/farm,2.5,4.3,8.7,9.2
Got married,0.7,22.3,1.3,15.9
Costs too much,11.9,15.9,10.1,11.6
Not interested in studies,28.7,16.2,33.8,17.1
Repeated failures,0.8,0.2,1.6,1.3
Did not get admission,0.4,0.5,0.6,0.7
Not safe,0,0.9,0.2,0.9
Need to earn,36.1,4.1,25.1,0.7
Other,8.3,11.1,7.4,10
Don’t know/missing,1.5,1.5,1.3,1.3
